iteration,loss
0,0.07162775099277496
6,0.009410453960299492
7,0.007550566457211971
8,0.008951036259531975
19,0.0036703150253742933
20,0.0038970124442130327
21,0.003937290515750647
22,0.003709834534674883
28,0.0010666692396625876
30,0.001053476589731872
34,0.0004157657385803759
36,7.120166264940053e-05
41,0.0012521574972197413
42,0.0011249224189668894
43,0.0007822965271770954
56,0.0004323454631958157
65,0.0005390224396251142
66,0.0005202910397201777
73,0.00037388011696748435
77,0.0003176931641064584
78,0.00028910223045386374
79,0.00024430928169749677
87,6.145492079667747e-05
93,5.137769039720297e-05
95,2.468875391059555e-05
97,1.0384471352153923e-05
102,1.1301831364107784e-05
105,5.939908078289591e-06
106,4.392020855448209e-06
108,8.564733207094832e-07
110,2.044457005467848e-06
111,3.0798196348769125e-06
113,2.7910652988794027e-06
116,8.997342320071766e-07
122,4.350303697719937e-06
124,3.3810756576713175e-06
125,1.9043839074583957e-06
127,1.0169814004257205e-06
128,1.959960400199634e-06
132,5.649213562719524e-06
135,2.178433760491316e-06
139,2.1888490664423443e-06
142,5.75057310925331e-06
143,4.76809964311542e-06
144,1.8607455558594665e-06
156,2.6009471184806898e-05
157,1.3026134183746763e-05
158,2.886447873606812e-06
165,6.027521885698661e-05
167,4.528532372205518e-05
173,1.2533530025393702e-05
174,7.57258612793521e-06
177,6.7599703470477834e-06
179,2.3239996153279208e-05
182,8.521462405042257e-06
184,1.1856539458676707e-05
187,2.3476741262129508e-05
188,5.5417793191736564e-05
190,2.116109499183949e-05
194,1.4555704183294438e-05
198,0.0004592691548168659
200,0.00015534467820543796
204,0.00035788986133411527
206,6.111086258897558e-05
208,5.19871391588822e-05
209,0.00011050319881178439
210,0.00010881062917178497
212,4.374336185719585e-06
216,0.00017850231961347163
217,6.989538087509573e-05
218,5.0925759751407895e-06
219,3.687170828925446e-05
220,9.99340190901421e-05
224,5.34696810063906e-05
226,0.0001081378577509895
229,6.806256351410411e-06
230,5.5507084653072525e-06
231,2.283446883666329e-05
234,1.1900710887857713e-05
239,2.5799303330131806e-05
241,7.4606246016628575e-06
253,3.442348543103435e-06
254,3.498175601635012e-06
255,2.33969149121549e-06
256,6.645427674811799e-07
257,1.33502737753588e-07
258,1.1143591791551444e-06
268,1.3356215276871808e-05
274,1.0165630556002725e-05
277,1.0175230045206263e-06
280,4.11135442845989e-06
290,7.36447100280202e-06
294,7.885525405981753e-07
295,6.954661557756481e-07
296,3.228987566217256e-07
297,7.821759595572075e-08
298,1.6179049566744652e-07
301,2.0442726622604823e-07
302,2.8017473141517257e-07
304,6.177542672958225e-07
306,3.155794274789514e-07
307,1.2858336617682653e-07
316,1.8362953824180295e-06
318,8.718447475075664e-07
319,2.9601221740449546e-07
320,5.5224720796331894e-08
326,1.0637904779287055e-06
327,1.0205371836491395e-06
328,6.332256248242629e-07
330,5.15951910529111e-07
337,5.255262749415124e-06
338,2.26939664571546e-06
339,3.793579139710346e-08
341,2.6621451070241164e-06
345,3.794845895299659e-07
347,3.404178414712078e-07
349,3.087393167788832e-07
350,4.4281435407356184e-07
351,3.900276794865931e-07
361,1.9433468878560234e-06
362,1.5502735095651587e-06
368,2.3545128158275475e-07
369,1.4759296895761054e-08
370,3.466573730293021e-07
372,1.1379206625861116e-06
376,1.7919717265613144e-07
378,6.26002133685688e-07
380,2.3701211659954424e-07
385,1.7255825213169373e-08
390,2.8607715307771286e-07
391,3.1795696031622356e-07
394,2.5485956456350323e-08
398,4.30709512500016e-08
404,1.851444437761529e-07
405,8.92880720471112e-08
406,8.632467185520909e-09
407,4.502708961240387e-08
412,1.0816720852346862e-08
414,1.8305176752164698e-07
418,1.0123499123437796e-06
419,5.628459120998741e-07
422,8.512915883329697e-07
423,8.140127079059312e-07
430,2.0562067959417618e-07
432,3.699873900586681e-07
436,2.9181455829530023e-07
439,4.0486187913302274e-07
442,1.3886695171549945e-07
444,6.709143463012879e-08
454,5.698083072047666e-08
459,2.0924984767134447e-07
462,2.485031131982396e-07
463,1.4915353574451728e-07
464,1.4090771216501707e-08
467,1.8517366697778925e-06
470,1.4717380736328778e-07
472,2.9651747013303975e-07
477,1.401208464812953e-07
488,1.1448454984019918e-07
489,1.4317706131805608e-07
490,1.1703991020795002e-07
494,6.410568857972976e-07
497,1.3696369371984929e-08
498,2.056895027635619e-07
503,7.501212451188621e-08
511,3.587643249147732e-08
513,9.619051155596026e-08
515,9.007032986119157e-08
519,1.7390392770266772e-07
522,1.2043021690999467e-08
523,1.3018724764890521e-08
525,1.8136855572947752e-08
527,2.9743070228960278e-09
530,1.1091218254932755e-07
540,1.279182093583131e-08
541,3.02753662140276e-08
543,3.6918471835178934e-08
554,6.218232329047169e-08
555,4.8552806219959166e-08
557,3.9463099454906114e-09
561,2.542352994794328e-08
563,2.1199667799010058e-08
568,1.562687828027265e-07
569,2.2886887052209204e-08
575,3.411436111377952e-08
576,2.4962449884924354e-08
579,1.3816330124427623e-07
584,2.9334199069808164e-08
589,3.6747717757634746e-08
594,1.8237757615224837e-07
595,8.577262633480132e-08
596,6.8604792957671634e-09
597,7.960545644891681e-08
603,2.1974868502638856e-07
604,1.5898269367653484e-08
607,2.534142851118304e-08
608,7.932840162538923e-08
610,5.863618071089149e-07
612,2.831836241057317e-07
616,1.276961256735376e-06
622,1.4370161949273097e-08
623,1.932508553181833e-08
627,2.902604819610133e-06
632,3.9544684682368825e-07
639,9.418101853952976e-07
640,7.955674874438046e-08
645,2.3120514924812596e-07
647,1.3022712437305017e-06
650,7.3196333687519655e-06
651,4.938377969665453e-06
652,2.9499346965167206e-07
656,2.7460903311293805e-06
659,2.0886072888970375e-06
660,4.1098792280536145e-06
661,1.6966588418654283e-06
662,4.6164622347077966e-08
663,1.960512918230961e-06
664,2.5432195798202883e-06
665,6.258495091060468e-07
667,1.2049074939568527e-05
669,9.623836376704276e-07
671,2.7284520911052823e-05
673,5.5101263569667935e-06
674,2.434937960060779e-05
676,1.2017962944810279e-05
684,4.420141976879677e-06
687,5.016769137000665e-05
692,1.4487774024019018e-05
696,0.00018663168884813786
697,0.00011554238153621554
703,0.00017953498172573745
705,1.6916830645641312e-05
707,3.4752309147734195e-05
720,0.00010123944957740605
723,2.3519158276030794e-05
729,2.1464606106746942e-05
732,3.312317130621523e-05
734,0.0005356189794838428
735,0.0006682273815385997
738,0.00014602174633182585
739,0.0004163157718721777
743,6.784949800930917e-05
745,5.9583129768725485e-05
747,5.367299309000373e-05
752,0.00020810574642382562
753,2.1060570361441933e-05
758,1.4777446267544292e-05
760,9.598699398338795e-05
763,1.7183370800921693e-05
764,0.00014077407831791788
765,0.0002118932461598888
767,8.172232810466085e-06
774,0.00013013227726332843
775,7.753194950055331e-05
778,8.965021697804332e-05
785,0.00017449786537326872
787,1.3431294973997865e-05
788,5.378946298151277e-06
790,2.5061726773856208e-06
793,0.00020457721257116646
800,0.00042817345820367336
801,0.00018994037236552685
802,8.695225915289484e-06
804,0.00017682336329016834
812,9.573638089932501e-05
818,3.0398690796573646e-05
819,1.996663741010707e-05
822,7.807923793734517e-06
823,5.156107363291085e-06
824,2.159880295948824e-06
825,8.934216566558462e-07
826,1.219378304995189e-06
832,8.782938493823167e-06
834,1.0281324648531154e-05
839,1.2276090046725585e-06
843,3.5219468372815754e-06
846,5.39020811629598e-06
847,5.395260359364329e-06
848,2.5762235509319e-06
856,9.515222814115987e-07
857,6.248128556762822e-07
858,6.712602385050559e-07
866,1.4765996638743673e-06
868,1.564816670907021e-06
874,1.4114387340669055e-05
875,1.0482658581167925e-05
877,1.4811580513196532e-06
884,1.8871420479626977e-06
890,1.6939371562330052e-05
892,4.429952866757958e-07
901,3.7780109778395854e-06
902,5.363448963180417e-06
904,7.773002153044217e-07
905,9.222902690453338e-07
909,2.9282759896887e-06
914,3.790445589402225e-06
919,1.8436195148296974e-07
920,2.3345091904047877e-07
927,2.887764594561304e-06
929,6.839822219717462e-08
936,1.333370164502412e-06
937,2.4569811785113416e-07
938,3.6614588339034526e-07
939,1.1554029697435908e-06
942,1.4355005077959504e-06
943,4.674414412875194e-06
947,1.537985212962667e-06
950,6.280600359787059e-07
952,5.216691533860285e-06
956,6.807267709518783e-06
958,6.455705261032563e-06
960,7.086537721079367e-07
962,4.461874141270528e-06
964,2.604625848334763e-08
966,1.3971249472888303e-06
967,9.370493216920295e-07
969,3.87469015095121e-07
971,5.149699518369744e-06
973,2.2862145669932943e-06
980,7.848734639992472e-07
981,2.3288178851998964e-07
