iteration,loss
0,0.10911277681589127
3,0.06187790632247925
4,0.04424595832824707
21,0.0020036178175359964
25,0.00209364527836442
34,0.003972385544329882
43,0.0008668266818858683
46,0.0007192443590611219
51,0.0009244648390449584
52,0.0009876227704808116
56,0.0009978758171200752
57,0.0009128115489147604
58,0.0007503700908273458
64,0.0002326149115106091
67,0.0002081833517877385
70,0.0002280108747072518
73,0.0002869126037694514
74,0.00028785786707885563
75,0.00025442056357860565
78,0.00012983592750970274
80,8.265690121334046e-05
81,6.354966171784326e-05
84,3.416722029214725e-05
87,3.542427293723449e-05
89,4.664542939281091e-05
90,5.1149942009942606e-05
93,6.016173574607819e-05
97,7.129931327654049e-05
98,6.852844671811908e-05
100,4.893519144388847e-05
108,8.923969289753586e-05
110,9.568959649186581e-05
117,6.756679795216769e-05
118,6.608632975257933e-05
121,6.260503141675144e-05
127,8.937547681853175e-05
130,6.316298095043749e-05
134,3.817285323748365e-05
135,3.3488573535578325e-05
143,7.875331357354298e-05
150,2.655339994817041e-05
151,2.1982121324981563e-05
155,2.0164794477750547e-05
161,4.5239950850373134e-05
164,2.6931003958452493e-05
165,1.841144148784224e-05
166,1.1098723007307854e-05
170,5.459714429889573e-06
171,4.312253167881863e-06
173,3.663421011879109e-06
177,6.04925662628375e-06
179,7.235237717395648e-06
186,1.0127628229383845e-06
188,1.1729617881428567e-06
191,2.0693451006081887e-06
193,4.351719326223247e-06
196,5.981632057228126e-06
201,2.630512426549103e-06
204,2.475719611538807e-06
206,2.4704345378268044e-06
210,2.4185271740861936e-06
211,2.1663013285433408e-06
213,1.1921038094442338e-06
218,3.066517706429295e-07
219,2.587828475952847e-07
221,1.524567636579377e-07
225,4.812919769392465e-07
226,4.512062332651112e-07
228,1.0046299081523102e-07
233,5.048689217801439e-07
234,3.8109709521449986e-07
237,4.899327876728421e-08
243,2.027773149393397e-07
245,8.026761122437165e-08
246,1.443871724404744e-07
247,2.122080644539892e-07
250,6.978248023870037e-08
253,5.570253733822028e-07
254,6.013146958139259e-07
258,9.199256112424337e-08
259,4.486517468649254e-08
262,3.903482337364039e-08
263,3.238919177306343e-08
279,1.6792695589629147e-07
284,8.64942819589487e-08
285,6.854615008933251e-08
287,4.239358375457414e-08
290,4.905286488110505e-08
292,8.572281018359718e-08
295,4.304528999909962e-08
296,1.831151763553862e-08
299,7.2273254048127455e-09
304,2.9638973941814584e-08
306,2.0768162301010307e-08
307,1.0391722149449834e-08
311,2.396290454953487e-08
312,2.0298568159660135e-08
316,5.469275698999354e-09
319,5.605902408944985e-09
322,2.933251863623809e-09
324,3.5981102541882137e-09
328,2.2920465525544387e-09
333,3.255955505210295e-09
336,1.3377841057149453e-09
337,1.3664722686712594e-09
338,1.5282815013506479e-09
340,1.4833787531642884e-09
343,2.184536995741837e-09
345,3.4033877938099977e-09
350,1.0093614832840103e-09
351,1.0307363851325135e-09
352,9.434906189653702e-10
358,7.844835892001356e-10
359,7.125686707354362e-10
361,5.986073858821328e-10
362,5.619211762564191e-10
365,4.847162671239857e-10
366,4.776712358989244e-10
369,4.041513790298268e-10
370,3.9251801808859454e-10
372,3.7823788545665593e-10
375,3.192983655253556e-10
377,2.8504665294804e-10
381,2.3806201454590337e-10
382,2.4629720485336293e-10
387,1.900941626331587e-10
390,1.7999113310906978e-10
392,1.5488854643308514e-10
395,1.497149071383319e-10
405,9.746781159947204e-11
410,9.751222052045705e-11
411,1.0233147662574993e-10
412,9.654055332930511e-11
416,7.927614120717408e-11
417,7.774580979003076e-11
419,6.534772722943671e-11
420,6.089262427622089e-11
427,4.622524585329302e-11
428,4.475086967659081e-11
436,3.8339997843195306e-11
439,3.200195664021521e-11
441,3.05089287166993e-11
442,2.945288457567585e-11
445,2.7268853841633245e-11
448,2.546052257912379e-11
449,2.3447022101663606e-11
452,2.0241586184965854e-11
453,1.9266366280135117e-11
455,1.6795453916529368e-11
456,1.5980106127244653e-11
461,1.2539302929326368e-11
465,1.0348166767926159e-11
468,9.211298390709999e-12
470,8.57625082062441e-12
472,7.716494110354688e-12
474,7.084999253947899e-12
479,5.966782623545441e-12
481,5.46318545957547e-12
