iteration,loss
2,0.015363581478595734
13,0.012420657090842724
28,0.008710362017154694
30,0.005504829343408346
32,0.0058659217320382595
36,0.003067696001380682
37,0.003327198326587677
38,0.0034630801528692245
41,0.0014629209181293845
44,0.0033449854236096144
46,0.0023525943979620934
47,0.0010709131602197886
49,0.001466049230657518
52,0.004403316415846348
55,8.149334462359548e-05
58,0.0005178938736207783
61,0.0023799685295671225
69,0.00022920042101759464
73,0.00016076542669907212
74,0.00014857124187983572
75,0.0001245307212229818
77,0.0002426948631182313
79,0.0003152436693198979
80,0.00010642391862347722
83,0.00011075871589127928
95,7.913548324722797e-05
96,7.76441884227097e-05
97,4.3347223254386336e-05
103,0.0001537784846732393
107,3.669769284897484e-05
108,3.452211240073666e-05
109,4.3118547182530165e-05
114,3.817522156168707e-05
117,3.3715987228788435e-06
118,1.768591232576e-06
120,1.3328321983863134e-05
122,1.9597147911554202e-05
128,1.3807284631184302e-05
131,1.543235339340754e-05
133,8.905227332434151e-06
134,3.7703853195125703e-06
138,8.08008735475596e-06
146,5.752554898208473e-06
149,1.3781329926132457e-06
150,1.698086634860374e-06
152,1.5526369452345534e-06
154,3.386346065781254e-07
162,2.1750752239313442e-06
164,1.5765242551424308e-06
166,8.646812830193085e-07
167,7.983144314493984e-07
169,9.295316516499952e-08
173,8.996623250823177e-07
179,1.8105486105923774e-06
185,3.719075607477862e-07
191,8.354030001100909e-07
192,9.246102905535736e-08
195,1.2282549732844927e-06
196,1.3173908541830315e-07
204,6.945439281480503e-07
210,1.1097542937932303e-06
213,8.131693789437122e-07
216,3.2876093882805435e-06
223,2.415798121546686e-07
224,7.612426600189792e-08
227,2.3418540422426304e-06
228,1.6574480241615674e-06
230,1.8440965732224868e-06
235,5.048008233643486e-07
250,2.3821658032829873e-05
254,2.5291272322647274e-05
256,1.1238071238039993e-05
263,1.836987394199241e-06
265,1.5277704733307473e-05
266,3.042404387088027e-06
271,4.6472701797029004e-05
272,9.401376701134723e-06
273,2.8494076104834676e-05
274,2.5950523195206188e-05
275,9.590468152964604e-07
283,9.334064088761806e-06
285,2.107245927618351e-05
291,2.7626792871160433e-05
293,0.00010841341281775385
295,1.875630914582871e-05
296,5.269079701974988e-05
299,2.3012120436760597e-05
309,1.7926720374816796e-06
310,1.2453083400032483e-05
311,1.7025909983203746e-05
313,2.5828467187238857e-05
316,3.475929406704381e-05
318,3.658099740277976e-05
319,2.4076329282252118e-05
320,4.159547643212136e-06
321,8.4307366705616e-06
322,1.3702762771572452e-05
328,0.00016736803809180856
331,0.002169440733268857
339,0.002002335386350751
343,0.00013346632476896048
356,0.00026184049784205854
365,0.00018698506755754352
370,0.0002279375185025856
371,4.431944034877233e-05
375,0.00014413292228709906
377,0.00040173210436478257
378,1.266825529455673e-05
382,0.0020586922764778137
383,0.0005691886763088405
384,0.00019599888764787465
387,0.0025474498979747295
395,0.0011028142180293798
397,0.0017456191126257181
400,0.0011599553981795907
401,0.0016171078896149993
403,0.0008255536668002605
406,0.000710313965100795
413,7.078686030581594e-05
417,0.0002810177975334227
423,0.00011861314851557836
424,0.0001709024072624743
428,5.628627332043834e-05
432,0.00017483746341895312
434,4.310099029680714e-05
435,8.63418827066198e-05
439,2.344369022466708e-05
440,4.274439925211482e-05
443,1.4423583706957288e-05
446,1.4332904356706422e-05
449,2.2435451683122665e-05
452,1.4888732039253227e-05
461,2.5161174562526867e-05
465,8.095716111711226e-06
468,6.4505829868721776e-06
469,6.034884336258983e-06
471,2.2394442567019723e-06
477,5.280892764858436e-06
479,3.3697197068249807e-06
486,8.016102583496831e-06
490,1.2987695754418382e-06
491,1.153793846242479e-06
495,7.818949825377786e-07
499,1.0172591373702744e-06
501,5.641377356369048e-07
504,5.999550580781943e-07
505,2.195327795107005e-07
506,4.679094089965474e-08
512,1.399443817717838e-06
513,3.3992432690865826e-07
514,5.49676883565553e-07
516,1.3746819149673684e-06
517,4.601662055847555e-07
520,4.2456476876395755e-06
523,8.811554152998724e-08
526,1.2774347624144866e-06
529,6.987028768890013e-07
533,3.828411081485683e-07
534,7.117499478681566e-08
536,7.397937338282645e-07
537,2.5985568186115415e-07
541,5.192899834582931e-07
544,2.690540839012101e-07
547,7.796051448849539e-08
557,4.0709193172006053e-07
558,6.689948861549055e-08
561,4.404436708682624e-07
563,1.5725488822226907e-07
567,1.9956708285917557e-08
569,3.1999368843571574e-07
571,2.7750544973059732e-08
572,8.623889868886181e-08
573,1.2191387099846906e-07
575,1.299947616217878e-08
579,9.425273361785003e-08
581,8.460195743964505e-08
587,6.25510736540491e-08
588,5.1449717375362525e-08
591,1.0105693171169605e-08
592,1.0324848531695352e-08
594,1.0730706989647842e-08
598,5.79745353945782e-08
599,2.598826043254121e-08
600,5.3776680886130634e-09
601,3.4600809328821924e-08
605,1.0155873475525823e-08
610,1.8396864476244446e-08
615,8.250258254349774e-09
619,1.89358795310568e-09
626,1.6918775269658681e-09
629,1.7171439825602874e-09
630,1.15741671802283e-09
636,8.236923920712513e-10
637,6.603961821838311e-10
638,3.9052708289410987e-10
645,2.6890505377963336e-09
650,1.7852826994513293e-09
655,1.3247643260161368e-10
657,1.0197727384753108e-10
662,6.445539102450937e-10
663,4.3716158470985533e-10
667,2.602378867955224e-10
669,3.4644501156755325e-10
672,1.624663042987251e-10
673,5.2153836804791354e-11
674,7.565325969849379e-12
677,6.418332532120985e-11
679,2.2249668774065867e-10
682,7.400106916133353e-11
683,8.93495069598238e-11
686,2.6939516589719048e-11
688,9.507239613626428e-12
689,1.3369749751745985e-11
690,1.3277201386940884e-11
696,2.398010609527823e-11
702,2.3747226407522248e-11
703,1.056577048075269e-11
704,1.557651750638822e-11
706,7.2335028591941075e-12
707,1.0196466067313725e-11
710,2.7899637461414883e-11
711,6.259348508258489e-12
716,2.1609204009509497e-11
717,3.14130947816349e-12
719,6.884679631946611e-11
720,2.1505996636306257e-11
721,8.613376505095527e-12
722,4.5774762452710505e-11
729,4.2596502713987405e-11
731,6.475105174263973e-11
732,4.675513448626489e-11
733,7.1212367599993165e-12
735,1.212187711319146e-10
736,4.61092483639014e-11
739,2.836415477491805e-11
742,5.7112183038388054e-11
747,2.916140107167564e-10
754,6.905285371283654e-11
756,2.0897950037124247e-11
759,3.51009880883435e-11
760,1.8840040638679056e-11
761,1.9427659134207964e-11
763,1.5785595053330326e-11
764,9.890754881780595e-12
765,2.1577229586400293e-11
766,2.2910206717852155e-11
767,6.709121973258458e-12
768,5.943867793789526e-12
769,1.3293544216808062e-11
771,7.367795609725114e-12
776,6.209527336764609e-10
790,2.0184396376521363e-09
795,1.4520210589452631e-09
797,7.534822765720151e-10
798,5.846360062733424e-10
806,2.4289975586455625e-10
810,2.6530948549208233e-09
813,3.0944277695788003e-10
814,1.9020518493562122e-10
824,1.4905007228449563e-09
830,7.670216684019238e-10
832,3.115624980232212e-10
834,1.2365981572060036e-09
838,1.6950070236276815e-09
840,4.0395722877839546e-10
841,6.270370889183141e-10
843,4.4065942561566374e-10
844,1.4584529417493997e-10
846,8.651454552754956e-10
849,1.553324552316937e-10
854,1.013960804208125e-09
857,9.67330882062356e-10
858,4.2468090155622917e-10
859,1.0741914302503375e-10
862,3.746011556504669e-10
863,1.333647914325553e-10
866,1.9917254512336058e-09
867,2.8977301114174736e-10
869,2.5685631399596787e-09
873,2.025969836338959e-09
874,4.2787623444340284e-10
876,3.080079080675091e-09
877,1.165010865555871e-09
879,3.490173927644946e-09
881,4.739130199382657e-10
882,4.4440345847718277e-10
883,1.316132647311008e-09
884,3.276781623817726e-10
887,2.7774352262532886e-10
895,1.4904211198540906e-09
896,2.1597248989202456e-10
900,4.885279958344313e-10
903,8.236448190146461e-10
904,9.931895306181104e-10
