iteration,loss
1,0.014629563316702843
3,0.007657419890165329
7,0.0031210416927933693
10,0.017432743683457375
12,0.025596115738153458
17,0.021620674058794975
19,0.016021963208913803
20,0.012867609038949013
21,0.009587236680090427
22,0.006695405580103397
24,0.0035159047693014145
25,0.002834117505699396
26,0.0024486039765179157
27,0.0023109137546271086
29,0.0023414853494614363
30,0.002312359632924199
32,0.002097426913678646
38,0.0047453842125833035
39,0.006407806649804115
40,0.007702745497226715
43,0.009546046145260334
45,0.008679253049194813
47,0.0063264756463468075
56,0.001789500005543232
57,0.0016844230704009533
61,0.0011734932195395231
63,0.0009300436358898878
66,0.0006231414154171944
68,0.0004799042653758079
69,0.00039411234320141375
71,0.00023187742044683546
74,0.0001192067502415739
76,9.782366396393627e-05
81,0.0001442557550035417
86,0.00034989562118425965
93,9.140665497398004e-06
95,1.8924325559055433e-05
97,2.6786050511873327e-05
100,3.02889384329319e-05
101,2.6745447030407377e-05
103,1.3330846741155256e-05
107,2.691812596822274e-06
108,1.4703725810250035e-06
110,1.0164125114897615e-06
113,9.063559218702721e-07
116,1.2068984460711363e-06
121,2.4930319341365248e-05
122,3.364669828442857e-05
124,2.166590820706915e-05
130,2.4351429601665586e-05
131,2.1239462512312457e-05
132,1.3381262760958634e-05
136,9.988432793761604e-06
140,3.917985395673895e-06
141,1.4153545180306537e-06
143,9.127288080890139e-07
153,1.2600845366250724e-05
156,5.266970674711047e-06
158,1.4128356724540936e-06
159,9.210010603055707e-07
165,1.4350468973134411e-06
167,2.2426550003729062e-06
168,1.9541762412700336e-06
170,1.1132169674965553e-06
173,3.850600933219539e-06
176,1.8625357824930688e-06
178,1.9841893106331554e-07
179,8.263133963737346e-07
188,8.657610806039884e-07
190,8.35902824292134e-07
191,6.951200930416235e-07
192,4.488825027237908e-07
193,2.0932041877586016e-07
195,3.96941004510154e-08
200,5.618604745905031e-07
201,6.234726015463821e-07
207,7.194611839622667e-07
208,5.374511147238081e-07
209,2.2932391630092752e-07
213,2.443521509576385e-07
219,1.6929017476741137e-07
220,1.58647296188974e-07
221,1.2554454542623716e-07
227,2.198901540850784e-07
229,9.187428418044874e-08
230,3.080396382415529e-08
233,1.223471741695903e-07
241,6.116427897495669e-08
243,2.7620032483355317e-08
246,9.750946716735598e-09
254,9.328354977355957e-09
