iteration,loss
0,0.11120215058326721
3,0.07608166337013245
4,0.0614604577422142
9,0.004800224211066961
11,0.0044859303161501884
12,0.006457866169512272
13,0.008474492467939854
14,0.010085394605994225
20,0.010678159072995186
21,0.009576813317835331
22,0.008228976279497147
23,0.00672994926571846
29,0.0019109378335997462
32,0.004563965369015932
33,0.005246744025498629
34,0.005417711101472378
38,0.0035834982991218567
39,0.0028846128843724728
42,0.0012633707374334335
43,0.0009927854407578707
47,0.0007214989745989442
57,0.0013201411347836256
62,0.0016107388073578477
65,0.0010763363679870963
68,0.0006715884082950652
73,0.000534903141669929
79,0.0005579934222623706
82,0.0005957098328508437
92,0.0004845448420383036
94,0.00043056480353698134
95,0.0003950440732296556
101,0.00031454305280931294
103,0.00031996314646676183
104,0.000315516022965312
105,0.00030188835808075964
113,0.0003451564407441765
115,0.0003819140256382525
120,0.0003382559516467154
121,0.00030541722662746906
124,0.00020272409892641008
127,0.00017617340199649334
130,0.00016673175559844822
133,0.00016502387006767094
136,0.00018483756866771728
144,0.00015802792040631175
147,0.00013612266047857702
148,0.00013264444714877754
150,0.00012620215420611203
153,0.00012058660649927333
154,0.00012059065193170682
155,0.00011860539962071925
162,0.00010463082435308024
164,9.73357236944139e-05
168,8.145672472892329e-05
169,7.825133798178285e-05
173,7.080208888510242e-05
186,9.026336192619056e-05
190,8.38917912915349e-05
198,8.708801033208147e-05
206,8.889121090760455e-05
207,8.646208152640611e-05
209,7.943353557493538e-05
211,7.287799962796271e-05
213,6.647559348493814e-05
217,5.645985220326111e-05
218,5.435105776996352e-05
220,4.91518439957872e-05
223,4.163693665759638e-05
224,3.897471833624877e-05
226,3.3409829484298825e-05
234,2.553627018642146e-05
236,2.3962216801010072e-05
239,1.9829009033855982e-05
241,1.7661810488789342e-05
245,1.514561336080078e-05
247,1.4257280781748705e-05
253,1.3257320460979827e-05
264,1.2291564416955225e-05
267,1.2431713912519626e-05
268,1.2258127753739245e-05
269,1.1857639947265852e-05
271,1.080517813534243e-05
275,8.960570994531736e-06
276,8.599968168709893e-06
284,7.770740012347233e-06
289,7.438289685524069e-06
295,6.987591859797249e-06
297,6.8775702857237775e-06
301,6.522298008349026e-06
302,6.33415584161412e-06
309,5.803371095680632e-06
311,5.775199497293215e-06
312,5.621401669486659e-06
315,5.049529590905877e-06
317,4.664110747398809e-06
318,4.375916887511266e-06
320,3.842252681351965e-06
322,3.332386995680281e-06
327,5.645244527840987e-06
329,6.8120471041765995e-06
330,5.9021749621024355e-06
333,1.982259618671378e-06
336,4.989617991668638e-06
339,3.1630390822101617e-06
343,1.5004721944933408e-06
348,2.0719844542327337e-06
357,1.8086981299347826e-06
